"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"naver_000114","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","남녀공용향수","Unisex Perfume","sku_category_4"
"naver_000113","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","남성향수","Men's Perfume","sku_category_3"
"olive_young_000078","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","남성향수","Men's Perfume","sku_category_3"
"naver_000057","메이크업","Makeup","네일","Nail","네일리무버","Nail Remover","sku_category_2"
"naver_000055","메이크업","Makeup","네일","Nail","네일아트ㆍ스티커","Nail ArtㆍSticker","sku_category_1"
"naver_000056","메이크업","Makeup","네일","Nail","네일영양제","Nail Nourishment","sku_category_0"
"naver_000059","메이크업","Makeup","네일","Nail","네일케어 세트","Nailcare Set","sku_category_70"
"naver_000001","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","넥크림","Neck Cream","sku_category_69"
"naver_000073","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오드란트","Deodorant","sku_category_68"
"olive_young_000036","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오롤온","Deodorant Roll-On","sku_category_67"
"olive_young_000038","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오스틱ㆍ티슈","Deodorant StickㆍTissue","sku_category_66"
"olive_young_000037","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오스프레이","Deodorant Spray","sku_category_65"
"olive_young_000123","스킨케어","Skincare","멘즈케어","Men","데오ㆍ바디미스트(멘즈)","DeodorantㆍBody Mist(Men)","sku_category_64"
"olive_young_000061","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","두피팩ㆍ스케일러","Scalp PackㆍScaler","sku_category_63"
"olive_young_000067","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","드라이샴푸","Dry Shampoo","sku_category_62"
