"lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"메이크업","Makeup","베이스 메이크업","Base Makeup","BBㆍCC크림","BBㆍCC Cream","sku_category_5"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","남녀공용향수","Unisex Perfume","sku_category_4"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","남성향수","Men's Perfume","sku_category_3"
"메이크업","Makeup","네일","Nail","네일리무버","Nail Remover","sku_category_2"
"메이크업","Makeup","네일","Nail","네일아트ㆍ스티커","Nail ArtㆍSticker","sku_category_1"
"메이크업","Makeup","네일","Nail","네일영양제","Nail Nourishment","sku_category_0"
"메이크업","Makeup","네일","Nail","네일케어 세트","Nailcare Set","sku_category_70"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","넥크림","Neck Cream","sku_category_69"
"스킨케어","Skincare","멘즈케어","Men","데오ㆍ바디미스트(멘즈)","DeodorantㆍBody Mist(Men)","sku_category_64"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오드란트","Deodorant","sku_category_68"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오롤온","Deodorant Roll-On","sku_category_67"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오스틱ㆍ티슈","Deodorant StickㆍTissue","sku_category_66"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","데오스프레이","Deodorant Spray","sku_category_65"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","두피팩ㆍ스케일러","Scalp PackㆍScaler","sku_category_63"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","드라이샴푸","Dry Shampoo","sku_category_62"
"스킨케어","Skincare","멘즈케어","Men","로션(멘즈)","Lotion(Men)","sku_category_61"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","로션ㆍ에멀젼","LotionㆍEmulsion","sku_category_60"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","린스ㆍ컨디셔너","ConditionerㆍRinse","sku_category_59"
"스킨케어","Skincare","클렌징","Cleansing","립ㆍ아이리무버","LipㆍEye Remover","sku_category_50"
"메이크업","Makeup","립 메이크업","Lip Makeup","립글로스","Lip Gloss","sku_category_58"
"메이크업","Makeup","립 메이크업","Lip Makeup","립라이너","Lip Liner","sku_category_57"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","립마스크ㆍ립스크럽","Lip MaskㆍScrub","sku_category_56"
"메이크업","Makeup","립 메이크업","Lip Makeup","립스틱","Lipstick","sku_category_55"
"메이크업","Makeup","립 메이크업","Lip Makeup","립케어","Lipcare","sku_category_54"
"메이크업","Makeup","립 메이크업","Lip Makeup","립틴트","Lip Tint","sku_category_51"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","마사지크림","Massage Cream","sku_category_49"
"메이크업","Makeup","아이 메이크업","Eye Makeup","마스카라","Mascara","sku_category_48"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","마스크시트","Sheet Mask","sku_category_47"
"스킨케어","Skincare","멘즈케어","Men","마스크팩(멘즈)","MaskㆍPack(Men)","sku_category_46"
"스킨케어","Skincare","멘즈케어","Men","매너용품(멘즈)","Perfume(Men)","sku_category_45"
"메이크업","Makeup","네일","Nail","매니큐어","Manicure","sku_category_44"
"스킨케어","Skincare","멘즈케어","Men","맨즈케어 세트(멘즈)","Menscare Set(Men)","sku_category_43"
"스킨케어","Skincare","멘즈케어","Men","메이크업(멘즈)","Makeup(Men)","sku_category_42"
